Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Arizona Cardinals,1141794,586830,554964,63697,61707,63243,69810,63919,68867,63290,66742,63982,71752,78427,63628,Bye,63251,75179,63393,69269,71638,2022
Atlanta Falcons,1167681,626248,541433,70078,71802,68773,69435,68299,69813,66158,68996,69299,72029,69757,53864,70325,Bye,70041,70467,69269,69276,2022
Baltimore Ravens,1185526,564714,620812,78827,70582,65878,70494,70548,78019,70461,68912,70010,Bye,70677,59560,70443,66326,67431,70467,71042,65849,2022
Buffalo Bills,1107077,547450,559627,73846,70683,66206,70494,70764,73586,Bye,70863,83135,70844,52146,66553,65878,70603,70794,59929,Bye,70753,2022
Carolina Panthers,1201413,642167,559246,72205,73843,70496,69810,72321,71482,71941,68996,66160,72029,70677,70644,Bye,68672,73548,69173,69298,70118,2022
Chicago Bears,1131267,538410,592857,62159,78350,60592,74044,66929,61873,65878,93767,62377,61817,69757,77963,61233,Bye,48423,59929,66169,60007,2022
Cincinnati Bengals,1109393,463733,645660,65841,92944,73708,67260,70548,70004,66158,67431,66160,Bye,66401,69441,66243,66222,69305,65878,Bye,65849,2022
Cleveland Browns,1118849,539448,579401,72205,67431,67431,69435,67431,67431,70461,67431,Bye,66563,52146,67431,66523,66222,67431,67431,50827,65019,2022
Dallas Cowboys,1409563,841192,568371,93797,92944,79445,92946,74154,69879,93487,93767,Bye,78433,65304,93568,93086,93843,69050,93754,69292,62814,2022
Denver Broncos,1251020,607845,643175,68965,76191,77021,62332,76667,70240,76624,86215,Bye,69240,76056,70644,70443,76072,75179,71525,73571,74035,2022
Detroit Lions,1157336,570809,586527,64537,57687,66638,63920,65878,Bye,93487,61447,63379,61817,76267,66553,60743,66374,75076,69173,66169,78191,2022
Green Bay Packers,1213888,685623,528265,66959,78350,69197,78317,61024,78343,60427,70863,63379,78433,77506,69879,61233,Bye,77269,66328,78190,78191,2022
Houston Texans,1163275,543294,619981,69415,76191,60592,69071,60018,Bye,61228,68467,68831,71615,65865,66205,66523,93843,70541,66634,64581,63655,2022
Indianapolis Colts,1163736,524474,639262,69415,58360,65975,65781,76667,65749,69459,65515,65878,62197,66241,65982,93086,Bye,66801,65576,77399,63655,2022
Jacksonville Jaguars,1130728,531675,599053,58192,58360,67964,69879,60018,65749,65664,86215,62758,73493,Bye,59560,60743,68409,69050,70043,64581,70050,2022
Kansas City Chiefs,1202995,587997,614998,63697,73461,65975,68348,73523,73586,71746,Bye,73475,73493,70240,73557,66243,76072,70541,73331,73571,62136,2022
Las Vegas Raiders,1125946,496363,629583,70240,61707,68649,62332,73523,Bye,61228,70009,62758,62197,76056,68849,62123,74738,62273,64761,62367,62136,2022
Los Angeles Chargers,1175977,559644,616333,70240,73461,67964,69071,67431,70240,70240,Bye,69299,71709,70240,63628,62123,70240,70240,65576,70240,74035,2022
Los Angeles Rams,1218216,654606,563610,73846,71802,63243,71597,74154,71482,Bye,73505,69019,71752,70025,73557,71802,74738,77269,71525,70240,68660,2022
Miami Dolphins,1152651,529841,622810,65786,70582,66206,67260,82500,66100,66224,61447,62377,66563,Bye,66205,71732,70240,70794,66328,65878,66429,2022
Minnesota Vikings,1130867,600183,530684,66959,69879,66638,60639,66929,66100,Bye,66742,58651,70844,65304,66918,66973,66374,66801,66919,78190,60007,2022
New England Patriots,1151883,527024,624859,65786,67307,65878,78317,65878,67431,65878,82823,65878,Bye,65878,66918,65878,63251,62273,65878,65878,70753,2022
New Orleans Saints,1168868,621249,547619,70078,70400,70496,60639,70003,70004,63290,70009,70010,66544,70025,71275,68709,Bye,70041,67431,69796,70118,2022
New York Giants,1243963,688266,555697,67805,73843,79445,74044,61024,78019,65664,68921,Bye,71615,76267,93568,76128,81506,61917,66919,77399,69879,2022
New York Jets,1251761,624075,627686,78827,67431,73708,66578,82500,78343,76624,82823,83135,Bye,65878,77963,66973,70603,75076,70043,68827,66429,2022
